tiempo_s;raw;delta;voltaje_mV;fuerza_N;;;;;;;;;;;;;;;
12.435;28698;10605;0.395067;1.568873;;;;;;;;;;;;;;;
12.453;28542;10449;0.389256;1.545795;;;;;;;;;;;;;;;
12.472;28599;10506;0.391379;1.554227;;;;;;;;;;;;;;;
12.49;28545;10452;0.389367;1.546239;;;;;;;;;;;;;;;
12.508;28670;10577;0.394024;1.564731;;;;;;;;;;;;;;;
12.526;28591;10498;0.391081;1.553044;;;;;;;;;;;;;;;
12.545;28594;10501;0.391193;1.553488;;;;;;;;;;;;;;;
12.563;28731;10638;0.396296;1.573755;;;;;;;;;;;;;;;
12.581;28674;10581;0.394173;1.565323;;;;;;;;;;;;;;;
12.599;28568;10475;0.390224;1.549641;;;;;;;;;;;;;;;
12.618;28731;10638;0.396296;1.573755;;;;;;;;;;;;;;;
12.636;28797;10704;0.398755;1.583519;;;;;;;;;;;;;;;
12.654;28633;10540;0.392646;1.559257;;;;;;;;;;;;;;;
12.672;28536;10443;0.389032;1.544907;;;;;;;;;;;;;;;
12.691;28545;10452;0.389367;1.546239;;;;;;;;;;;;;;;
12.709;28624;10531;0.39231;1.557926;;;;;;;;;;;;;;;
12.727;28631;10538;0.392571;1.558961;;;;;;;;;;;;;;;
12.745;28637;10544;0.392795;1.559849;;;;;;;;;;;;;;;
12.764;28616;10523;0.392012;1.556742;;;;;;;;;;;;;;;
12.782;28583;10490;0.390783;1.55186;;;;;;;;;;;;;;;
12.8;28602;10509;0.391491;1.554671;;;;;;;;;;;;;;;
12.818;28563;10470;0.390038;1.548902;;;;;;;;;;;;;;;
12.837;28727;10634;0.396147;1.573163;;;;;;;;;;;;;;;
12.855;28700;10607;0.395142;1.569169;;;;;;;;;;;;;;;
12.873;28560;10467;0.389926;1.548458;;;;;;;;;;;;;;;
12.891;28514;10421;0.388213;1.541653;;;;;;;;;;;;;;;
12.91;28658;10565;0.393577;1.562956;;;;;;;;;;;;;;;
12.928;28619;10526;0.392124;1.557186;;;;;;;;;;;;;;;
12.946;28688;10595;0.394695;1.567394;;;;;;;;;;;;;;;
12.964;28647;10554;0.393167;1.561328;;;;;;;;;;;;;;;
12.983;28662;10569;0.393726;1.563547;;;;;;;;;;;;;;;
13.001;28579;10486;0.390634;1.551269;;;;;;;;;;;;;;;
13.019;28552;10459;0.389628;1.547274;;;;;;;;;;;;;;;
13.037;28726;10633;0.39611;1.573015;;;;;;;;;;;;;;;
13.056;28687;10594;0.394657;1.567246;;;;;;;;;;;;;;;
13.074;28624;10531;0.39231;1.557926;;;;;;;;;;;;;;;
13.092;28626;10533;0.392385;1.558222;;;;;;;;;;;;;;;
13.11;28564;10471;0.390075;1.54905;;;;;;;;;;;;;;;
13.129;28671;10578;0.394061;1.564879;;;;;;;;;;;;;;;
13.147;28584;10491;0.39082;1.552008;;;;;;;;;;;;;;;
13.165;28687;10594;0.394657;1.567246;;;;;;;;;;;;;;;
13.183;28653;10560;0.393391;1.562216;;;;;;;;;;;;;;;
13.202;28667;10574;0.393912;1.564287;;;;;;;;;;;;;;;
13.22;28576;10483;0.390522;1.550825;;;;;;;;;;;;;;;
13.238;28732;10639;0.396334;1.573903;;;;;;;;;;;;;;;
13.256;28663;10570;0.393763;1.563695;;;;;;;;;;;;;;;
13.275;28672;10579;0.394099;1.565027;;;;;;;;;;;;;;;
13.293;28584;10491;0.39082;1.552008;;;;;;;;;;;;;;;
13.311;28584;10491;0.39082;1.552008;;;;;;;;;;;;;;;
13.329;28585;10492;0.390858;1.552156;;;;;;;;;;;;;;;
13.348;28612;10519;0.391863;1.556151;;;;;;;;;;;;;;;
13.366;28699;10606;0.395104;1.569021;;;;;;;;;;;;;;;
13.384;28673;10580;0.394136;1.565175;;;;;;;;;;;;;;;
13.402;28615;10522;0.391975;1.556594;;;;;;;;;;;;;;;
13.42;28537;10444;0.389069;1.545055;;;;;;;;;;;;;;;
13.439;28789;10696;0.398457;1.582335;;;;;;;;;;;;;;;
13.457;28624;10531;0.39231;1.557926;;;;;;;;;;;;;;;
13.475;28588;10495;0.390969;1.5526;;;;;;;;;;;;;;;
13.494;28517;10424;0.388324;1.542097;;;;;;;;;;;;;;;
13.512;28650;10557;0.393279;1.561772;;;;;;;;;;;;;;;
13.53;28689;10596;0.394732;1.567542;;;;;;;;;;;;;;;
13.548;28614;10521;0.391938;1.556446;;;;;;;;;;;;;;;
13.567;28632;10539;0.392608;1.559109;;;;;;;;;;;;;;;
13.585;28822;10729;0.399686;1.587217;;;;;;;;;;;;;;;
13.603;28631;10538;0.392571;1.558961;;;;;;;;;;;;;;;
13.621;28579;10486;0.390634;1.551269;;;;;;;;;;;;;;;
13.64;28555;10462;0.38974;1.547718;;;;;;;;;;;;;;;
13.658;28685;10592;0.394583;1.56695;;;;;;;;;;;;;;;
13.676;28527;10434;0.388697;1.543576;;;;;;;;;;;;;;;
13.694;28551;10458;0.389591;1.547126;;;;;;;;;;;;;;;
13.712;28643;10550;0.393018;1.560737;;;;;;;;;;;;;;;
13.731;28641;10548;0.392944;1.560441;;;;;;;;;;;;;;;
13.749;28629;10536;0.392497;1.558665;;;;;;;;;;;;;;;
13.767;28704;10611;0.395291;1.569761;;;;;;;;;;;;;;;
13.785;28678;10585;0.394322;1.565914;;;;;;;;;;;;;;;
13.804;28611;10518;0.391826;1.556003;;;;;;;;;;;;;;;
13.822;28569;10476;0.390261;1.549789;;;;;;;;;;;;;;;
13.84;28542;10449;0.389256;1.545795;;;;;;;;;;;;;;;
13.858;28884;10791;0.401996;1.596389;;;;;;;;;;;;;;;
13.877;28660;10567;0.393651;1.563252;;;;;;;;;;;;;;;
13.895;28559;10466;0.389889;1.54831;;;;;;;;;;;;;;;
13.913;28675;10582;0.39421;1.565471;;;;;;;;;;;;;;;
13.931;28634;10541;0.392683;1.559405;;;;;;;;;;;;;;;
13.95;28567;10474;0.390187;1.549493;;;;;;;;;;;;;;;
13.968;28614;10521;0.391938;1.556446;;;;;;;;;;;;;;;
13.986;28738;10645;0.396557;1.574791;;;;;;;;;;;;;;;
14.004;28660;10567;0.393651;1.563252;;;;;;;;;;;;;;;
14.023;28531;10438;0.388846;1.544168;;;;;;;;;;;;;;;
14.041;28557;10464;0.389814;1.548014;;;;;;;;;;;;;;;
14.059;28909;10816;0.402927;1.600088;;;;;;;;;;;;;;;
14.077;28563;10470;0.390038;1.548902;;;;;;;;;;;;;;;
14.096;28608;10515;0.391714;1.555559;;;;;;;;;;;;;;;
14.114;28586;10493;0.390895;1.552304;;;;;;;;;;;;;;;
14.132;28643;10550;0.393018;1.560737;;;;;;;;;;;;;;;
14.151;28658;10565;0.393577;1.562956;;;;;;;;;;;;;;;
14.169;28580;10487;0.390671;1.551417;;;;;;;;;;;;;;;
14.187;28681;10588;0.394434;1.566358;;;;;;;;;;;;;;;
14.205;28703;10610;0.395253;1.569613;;;;;;;;;;;;;;;
14.224;28546;10453;0.389405;1.546387;;;;;;;;;;;;;;;
14.242;28522;10429;0.388511;1.542836;;;;;;;;;;;;;;;
14.26;28596;10503;0.391267;1.553784;;;;;;;;;;;;;;;
14.278;28667;10574;0.393912;1.564287;;;;;;;;;;;;;;;
14.296;28574;10481;0.390448;1.550529;;;;;;;;;;;;;;;
14.315;28666;10573;0.393875;1.564139;;;;;;;;;;;;;;;
14.333;28649;10556;0.393242;1.561624;;;;;;;;;;;;;;;
14.351;28630;10537;0.392534;1.558813;;;;;;;;;;;;;;;
14.369;28628;10535;0.392459;1.558518;;;;;;;;;;;;;;;
14.388;28746;10653;0.396855;1.575974;;;;;;;;;;;;;;;
14.406;28684;10591;0.394546;1.566802;;;;;;;;;;;;;;;
14.424;28590;10497;0.391044;1.552896;;;;;;;;;;;;;;;
14.442;28524;10431;0.388585;1.543132;;;;;;;;;;;;;;;
14.461;28699;10606;0.395104;1.569021;;;;;;;;;;;;;;;
14.479;28418;10325;0.384636;1.527451;;;;;;;;;;;;;;;
14.497;28595;10502;0.39123;1.553636;;;;;;;;;;;;;;;
14.516;28671;10578;0.394061;1.564879;;;;;;;;;;;;;;;
14.534;28665;10572;0.393838;1.563991;;;;;;;;;;;;;;;
14.552;28613;10520;0.391901;1.556298;;;;;;;;;;;;;;;
14.57;28559;10466;0.389889;1.54831;;;;;;;;;;;;;;;
14.589;28897;10804;0.40248;1.598313;;;;;;;;;;;;;;;
14.607;28706;10613;0.395365;1.570057;;;;;;;;;;;;;;;
14.625;28574;10481;0.390448;1.550529;;;;;;;;;;;;;;;
14.643;28601;10508;0.391454;1.554523;;;;;;;;;;;;;;;
14.661;28592;10499;0.391118;1.553192;;;;;;;;;;;;;;;
14.68;28695;10602;0.394955;1.568429;;;;;;;;;;;;;;;
14.698;28658;10565;0.393577;1.562956;;;;;;;;;;;;;;;
14.716;28647;10554;0.393167;1.561328;;;;;;;;;;;;;;;
14.734;28734;10641;0.396408;1.574199;;;;;;;;;;;;;;;
14.753;28596;10503;0.391267;1.553784;;;;;;;;;;;;;;;
14.771;28547;10454;0.389442;1.546535;;;;;;;;;;;;;;;
14.789;28591;10498;0.391081;1.553044;;;;;;;;;;;;;;;
14.807;28622;10529;0.392236;1.55763;;;;;;;;;;;;;;;
14.826;28653;10560;0.393391;1.562216;;;;;;;;;;;;;;;
14.844;28569;10476;0.390261;1.549789;;;;;;;;;;;;;;;
14.862;28619;10526;0.392124;1.557186;;;;;;;;;;;;;;;
14.88;28623;10530;0.392273;1.557778;;;;;;;;;;;;;;;
14.899;28628;10535;0.392459;1.558518;;;;;;;;;;;;;;;
14.917;28630;10537;0.392534;1.558813;;;;;;;;;;;;;;;
14.935;28708;10615;0.39544;1.570353;;;;;;;;;;;;;;;
14.953;28600;10507;0.391416;1.554375;;;;;;;;;;;;;;;
14.972;28574;10481;0.390448;1.550529;;;;;;;;;;;;;;;
14.99;28583;10490;0.390783;1.55186;;;;;;;;;;;;;;;
